response,previous_response,contrast,previous_contrast,orientation,ID,predictor,Gl_Prob_State_ext,Gl_Prob_State_int
1,0,2,0,-10.0,1,0,0.9767680207948636,0.023231979205097224
0,1,-1,2,,1,3,0.9858128187147313,0.014187181285309594
1,-1,1,0,-2.0,1,-1,0.9901065662235584,0.009893433776480396
0,1,-1,1,,1,2,0.9916798328383173,0.008320167161736464
0,-1,-1,0,,1,-1,0.9912766369772069,0.00872336302284332
1,-1,1,0,0.0,1,-1,0.9939680796464512,0.0060319203536017335
0,1,-1,1,,1,2,0.9951114185555634,0.004888581444440591
1,-1,1,0,3.0,1,-1,0.9952473536716975,0.004752646328345811
0,1,-1,1,,1,2,0.9944401704940626,0.005559829505889714
0,-1,-1,0,,1,-1,0.9923081415106517,0.007691858489340513
1,-1,1,0,-2.0,1,-1,0.9932111171304124,0.0067888828695388355
0,1,-1,1,,1,2,0.9925591687383811,0.007440831261630105
1,-1,2,0,-10.0,1,-1,0.990043981388295,0.009956018611667925
0,1,-1,2,,1,3,0.9870005838032473,0.01299941619670835
0,-1,-1,0,,1,-1,0.9800192388441678,0.01998076115585753
0,-1,-1,0,,1,-1,0.9767064266364651,0.0232935733635361
1,-1,1,0,0.0,1,-1,0.9769790815266995,0.023020918473306014
1,1,1,1,-2.0,1,2,0.9723842840502549,0.02761571594972888
1,1,1,1,-3.0,1,2,0.9715123470977187,0.028487652902236968
0,1,-1,1,,1,2,0.9743414076693668,0.025658592330687173
0,-1,-1,0,,1,-1,0.9720583688191893,0.027941631180844625
1,-1,2,0,10.0,1,-1,0.973458970408382,0.02654102959165319
1,1,1,2,1.0,1,3,0.972906982582225,0.02709301741778251
1,1,1,1,1.0,1,2,0.9760284923478826,0.023971507652121735
0,1,-1,1,,1,2,0.9829017686299265,0.017098231370108262
1,-1,1,0,3.0,1,-1,0.985289002636871,0.014710997363177042
1,1,1,1,2.0,1,2,0.9843191486433011,0.015680851356727223
0,1,-1,1,,1,2,0.9867017718798069,0.013298228120205901
0,-1,-1,0,,1,-1,0.9859917768471969,0.014008223152824332
1,-1,2,0,10.0,1,-1,0.9885810890913997,0.011418910908648116
0,1,-1,2,,1,3,0.9905345315731745,0.009465468426804473
1,-1,1,0,3.0,1,-1,0.9902181992482958,0.009781800751743551
1,1,1,1,-2.0,1,2,0.9874824944108787,0.01251750558917602
0,1,-1,1,,1,2,0.9879957297696484,0.012004270230336442
1,-1,1,0,1.0,1,-1,0.9856735473850456,0.014326452614910128
1,1,1,1,3.0,1,2,0.9794177567480354,0.020582243252009958
1,1,1,1,0.0,1,2,0.9767993150447328,0.02320068495525418
1,1,1,1,2.0,1,2,0.977752567309765,0.022247432690198125
0,1,-1,1,,1,2,0.9823014154480937,0.017698584551927306
1,-1,1,0,0.0,1,-1,0.9827611610918457,0.017238838908173425
1,1,2,1,-10.0,1,2,0.9793492239864022,0.020650776013641337
1,1,1,2,3.0,1,3,0.9783294829692154,0.021670517030838814
1,1,1,1,-1.0,1,2,0.9808401139607025,0.01915988603930907
0,1,-1,1,,1,2,0.9869440686741312,0.013055931325811992
1,-1,1,0,3.0,1,-1,0.9893462815000534,0.010653718499909658
0,1,-1,1,,1,2,0.9891827903929313,0.010817209607040744
1,-1,1,0,3.0,1,-1,0.9863762782638055,0.013623721736239682
1,1,1,1,1.0,1,2,0.9795995087143266,0.020400491285678394
1,1,1,1,-2.0,1,2,0.976487785463391,0.023512214536643244
1,1,1,1,2.0,1,2,0.976963084973946,0.023036915026031404
0,1,-1,1,,1,2,0.9810373249348149,0.018962675065186355
0,-1,-1,0,,1,-1,0.9808951200437448,0.019104879956275852
1,-1,2,0,-10.0,1,-1,0.9842268630191086,0.01577313698092767
0,1,-1,2,,1,3,0.9864071765596634,0.013592823440334197
1,-1,1,0,-1.0,1,-1,0.985449842271738,0.014550157728292086
0,1,-1,1,,1,2,0.980902124213337,0.019097875786682147
0,-1,-1,0,,1,-1,0.9706133468634347,0.029386653136523732
0,-1,-1,0,,1,-1,0.9644237467557949,0.035576253244239936
1,-1,2,0,10.0,1,-1,0.9621781254828917,0.03782187451709649
1,1,1,2,1.0,1,3,0.9569799752030624,0.04302002479696833
1,1,1,1,0.0,1,2,0.9558147736091074,0.04418522639085857
